Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
1,Wii Sports,1,2006,1,Nintendo,41.49,29.02,3.77,8.46
2,Super Mario Bros.,2,1985,2,Nintendo,29.08,3.58,6.81,0.77
3,Mario Kart Wii,1,2008,3,Nintendo,15.85,12.88,3.79,3.31
4,Wii Sports Resort,1,2009,1,Nintendo,15.75,11.01,3.28,2.96
5,Pokemon Red/Pokemon Blue,3,1996,4,Nintendo,11.27,8.89,10.22,1
6,Tetris,3,1989,5,Nintendo,23.2,2.26,4.22,0.58
7,New Super Mario Bros.,4,2006,2,Nintendo,11.38,9.23,6.5,2.9
8,Wii Play,1,2006,6,Nintendo,14.03,9.2,2.93,2.85
9,New Super Mario Bros. Wii,1,2009,2,Nintendo,14.59,7.06,4.7,2.26
10,Duck Hunt,2,1984,7,Nintendo,26.93,0.63,0.28,0.47
11,Nintendogs,4,2005,8,Nintendo,9.07,11,1.93,2.75
12,Mario Kart DS,4,2005,3,Nintendo,9.81,7.57,4.13,1.92
13,Pokemon Gold/Pokemon Silver,3,1999,4,Nintendo,9,6.18,7.2,0.71
14,Wii Fit,1,2007,1,Nintendo,8.94,8.03,3.6,2.15
15,Wii Fit Plus,1,2009,1,Nintendo,9.09,8.59,2.53,1.79
16,Kinect Adventures!,5,2010,6,Microsoft Game Studios,14.97,4.94,0.24,1.67
17,Grand Theft Auto V,6,2013,9,Take-Two Interactive,7.01,9.27,0.97,4.14
18,Grand Theft Auto: San Andreas,7,2004,9,Take-Two Interactive,9.43,0.4,0.41,10.57
19,Super Mario World,8,1990,2,Nintendo,12.78,3.75,3.54,0.55
20,Brain Age: Train Your Brain in Minutes a Day,4,2005,6,Nintendo,4.75,9.26,,2.05
21,Pokemon Diamond/Pokemon Pearl,4,2006,4,Nintendo,6.42,4.52,6.04,1.37
22,Super Mario Land,3,1989,2,Nintendo,10.83,2.71,4.18,0.42
23,Super Mario Bros. 3,2,1988,2,Nintendo,9.54,3.44,3.84,0.46
24,Grand Theft Auto V,5,2013,9,Take-Two Interactive,9.63,5.31,0.06,1.38
25,Grand Theft Auto: Vice City,7,2002,9,Take-Two Interactive,8.41,5.49,0.47,1.78
26,Pokemon Ruby/Pokemon Sapphire,9,2002,4,Nintendo,6.06,3.9,5.38,0.5
27,Pokemon Black/Pokemon White,4,2010,4,Nintendo,5.57,3.28,5.65,0.82
28,Brain Age 2: More Training in Minutes a Day,4,2005,5,Nintendo,3.44,5.36,5.32,1.18
29,Gran Turismo 3: A-Spec,7,2001,3,Sony Computer Entertainment,6.85,5.09,1.87,1.16
30,Call of Duty: Modern Warfare 3,5,2011,7,Activision,9.03,4.28,0.13,1.32
31,,3,1998,4,Nintendo,5.89,5.04,3.12,0.59
32,Call of Duty: Black Ops,5,2010,7,Activision,9.67,3.73,0.11,1.13
33,Pokemon X/Pokemon Y,10,2013,4,Nintendo,5.17,4.05,4.34,0.79
34,Call of Duty: Black Ops 3,11,2015,7,Activision,5.77,5.81,0.35,2.31
35,Call of Duty: Black Ops II,6,2012,7,Activision,4.99,5.88,0.65,2.52
